id_employee,age,genre,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
227,41,M,Divorcé(e),Consulting,Assistant de Direction,4,13,9,8,1,3,3,1,3,3,Non,12.0,0,1,2,14,3,Infra & Cloud,Occasionnel,1,8
228,30,F,Marié(e),Commercial,Cadre Commercial,2,12,10,9,2,3,4,3,3,3,Non,12.0,0,1,2,5,3,Infra & Cloud,Occasionnel,7,4
230,38,F,Célibataire,Commercial,Cadre Commercial,4,12,8,3,1,2,4,3,4,4,Non,22.0,0,0,2,1,4,Infra & Cloud,Occasionnel,0,7
231,32,M,Célibataire,Consulting,Assistant de Direction,3,8,5,4,3,3,3,1,3,4,Non,20.0,0,0,2,6,5,Infra & Cloud,Occasionnel,1,4
233,27,M,Marié(e),Consulting,Assistant de Direction,0,6,5,2,3,3,2,4,2,3,Oui,16.0,0,1,3,17,3,Entrepreunariat,Occasionnel,1,1
235,19,F,Célibataire,Commercial,Représentant Commercial,0,1,0,0,3,1,1,1,4,4,Non,21.0,1,0,5,1,1,Entrepreunariat,Frequent,0,0
238,36,M,Célibataire,Consulting,Consultant,4,13,8,7,4,3,2,3,2,3,Non,12.0,0,0,3,3,2,Transformation Digitale,Frequent,7,2
239,30,M,Divorcé(e),Consulting,Consultant,1,12,12,9,3,3,1,3,3,3,Non,11.0,0,2,4,9,3,Transformation Digitale,Aucun,6,10
240,45,F,Divorcé(e),Commercial,Cadre Commercial,4,9,5,4,3,3,1,1,4,3,Oui,11.0,0,1,3,4,2,Infra & Cloud,Occasionnel,0,3
241,56,F,Divorcé(e),Consulting,Assistant de Direction,4,19,2,2,3,3,1,3,3,3,Oui,18.0,0,1,3,8,3,Infra & Cloud,Occasionnel,2,2
242,33,M,Célibataire,Consulting,Assistant de Direction,0,4,3,1,3,3,4,1,4,3,Non,14.0,0,0,2,2,3,Infra & Cloud,Occasionnel,0,2
243,19,M,Célibataire,Consulting,Consultant,1,1,1,0,2,2,4,3,2,4,Non,22.0,1,0,3,2,3,Infra & Cloud,Occasionnel,1,0
244,46,F,Divorcé(e),Commercial,Cadre Commercial,1,24,24,13,2,3,1,3,3,4,Non,25.0,0,3,2,1,2,Marketing,Occasionnel,15,7
245,38,F,Célibataire,Consulting,Consultant,1,2,2,2,3,3,4,3,3,3,Non,12.0,0,0,3,9,2,Infra & Cloud,Occasionnel,2,1
246,31,F,Marié(e),Consulting,Assistant de Direction,8,7,4,2,3,3,4,3,3,4,Oui,23.0,0,1,0,12,1,Transformation Digitale,Occasionnel,0,2
247,34,F,Célibataire,Consulting,Assistant de Direction,2,9,3,2,4,3,2,4,3,3,Non,15.0,0,0,3,27,2,Transformation Digitale,Occasionnel,1,2
248,41,F,Célibataire,Commercial,Représentant Commercial,1,4,4,3,2,3,2,4,2,4,Oui,22.0,1,0,5,20,2,Marketing,Occasionnel,0,2
249,50,M,Marié(e),Consulting,Consultant,2,5,3,2,3,2,3,4,2,3,Non,15.0,0,1,2,1,3,Transformation Digitale,Occasionnel,0,2
250,53,F,Divorcé(e),Consulting,Tech Lead,1,5,4,2,4,4,1,3,3,3,Non,11.0,0,2,3,13,2,Transformation Digitale,Occasionnel,1,3
252,33,F,Marié(e),Consulting,Assistant de Direction,1,8,8,7,4,3,2,4,3,3,Non,13.0,0,1,5,14,3,Transformation Digitale,Occasionnel,1,6
253,40,F,Marié(e),Consulting,Senior Manager,1,21,20,8,4,3,3,2,3,3,Non,14.0,0,1,2,4,1,Transformation Digitale,Occasionnel,9,9
254,55,M,Célibataire,Consulting,Directeur Technique,8,36,24,15,3,4,2,4,3,3,Non,11.0,0,0,3,14,4,Transformation Digitale,Occasionnel,2,15
256,34,M,Marié(e),Consulting,Tech Lead,1,10,10,9,4,2,3,3,2,3,Non,17.0,0,0,2,2,1,Infra & Cloud,Frequent,1,9
258,51,F,Célibataire,Consulting,Manager,3,21,7,7,4,3,2,3,3,3,Non,18.0,0,0,6,3,3,Transformation Digitale,Occasionnel,1,0
259,52,M,Marié(e),Consulting,Senior Manager,0,34,33,18,3,2,3,1,3,3,Non,14.0,0,1,5,1,4,Infra & Cloud,Occasionnel,11,9
260,27,F,Célibataire,Consulting,Assistant de Direction,1,7,7,7,4,3,2,4,2,3,Non,16.0,0,0,2,9,3,Transformation Digitale,Occasionnel,0,3
261,35,M,Marié(e),Consulting,Tech Lead,3,8,1,0,2,2,3,1,3,3,Oui,13.0,1,0,1,23,2,Infra & Cloud,Occasionnel,0,1
262,43,M,Divorcé(e),Consulting,Assistant de Direction,4,7,5,4,4,4,4,4,4,3,Non,14.0,0,3,3,7,3,Transformation Digitale,Aucun,2,2
264,45,M,Marié(e),Consulting,Senior Manager,9,22,20,8,1,2,4,4,3,4,Non,23.0,0,1,1,2,2,Transformation Digitale,Aucun,11,8
267,37,M,Marié(e),Consulting,Assistant de Direction,1,8,8,7,2,4,1,1,2,3,Oui,12.0,0,1,3,21,3,Infra & Cloud,Occasionnel,1,7
269,35,F,Célibataire,Consulting,Consultant,5,10,6,2,2,3,2,4,3,3,Non,11.0,0,0,5,2,3,Transformation Digitale,Frequent,1,2
270,42,F,Divorcé(e),Consulting,Tech Lead,2,11,5,3,3,3,3,2,3,3,Non,16.0,0,1,5,21,2,Transformation Digitale,Aucun,0,2
271,38,M,Marié(e),Consulting,Tech Lead,9,14,1,0,4,3,3,2,3,3,Non,14.0,0,0,3,2,4,Infra & Cloud,Occasionnel,0,0
273,38,M,Marié(e),Consulting,Tech Lead,3,9,7,7,4,3,4,1,1,3,Non,18.0,0,1,3,29,3,Entrepreunariat,Occasionnel,1,7
274,27,M,Marié(e),Consulting,Tech Lead,5,6,2,2,3,2,1,3,3,3,Non,19.0,0,1,1,1,1,Entrepreunariat,Frequent,2,0
275,49,M,Divorcé(e),Consulting,Tech Lead,1,7,7,7,4,3,4,1,3,3,Oui,15.0,0,2,0,18,4,Infra & Cloud,Aucun,1,7
277,34,M,Divorcé(e),Consulting,Assistant de Direction,1,5,5,3,4,3,3,4,4,3,Oui,17.0,0,1,4,10,4,Transformation Digitale,Frequent,2,0
281,40,M,Marié(e),Consulting,Consultant,8,15,7,2,3,3,4,3,4,3,Oui,15.0,0,1,2,19,2,Transformation Digitale,Occasionnel,3,7
282,38,M,Marié(e),Consulting,Manager,7,17,1,0,2,3,1,2,3,3,Oui,19.0,1,0,2,29,1,Transformation Digitale,Occasionnel,0,0
283,29,F,Marié(e),Commercial,Cadre Commercial,1,10,10,4,2,3,4,4,2,4,Non,22.0,1,3,3,27,3,Marketing,Occasionnel,1,9
284,22,M,Divorcé(e),Consulting,Assistant de Direction,1,4,4,2,4,4,2,1,2,3,Oui,16.0,0,1,2,5,3,Infra & Cloud,Occasionnel,2,2
286,36,F,Célibataire,Consulting,Consultant,1,8,8,1,2,3,4,1,3,3,Non,13.0,0,0,2,18,1,Transformation Digitale,Frequent,1,7
287,40,M,Marié(e),Consulting,Manager,9,5,3,2,4,2,4,4,1,3,Non,14.0,0,1,5,9,5,Infra & Cloud,Aucun,0,2
288,46,M,Divorcé(e),Consulting,Manager,7,17,4,2,4,3,1,3,3,3,Non,16.0,0,1,3,1,4,Transformation Digitale,Occasionnel,0,3
291,32,M,Marié(e),Commercial,Cadre Commercial,1,14,14,8,4,1,4,3,2,3,Non,11.0,1,0,2,4,4,Transformation Digitale,Occasionnel,9,8
292,30,M,Célibataire,Consulting,Tech Lead,1,12,11,8,3,2,3,3,3,4,Non,22.0,0,0,2,1,1,Infra & Cloud,Aucun,5,8
293,27,F,Célibataire,Commercial,Cadre Commercial,1,7,7,7,4,3,3,4,3,3,Non,14.0,0,0,2,20,3,Infra & Cloud,Frequent,0,7
296,51,M,Marié(e),Consulting,Directeur Technique,5,16,10,9,2,2,2,4,1,3,Non,16.0,0,2,5,8,4,Infra & Cloud,Occasionnel,4,7
297,30,F,Célibataire,Consulting,Assistant de Direction,5,8,5,2,4,3,1,3,3,3,Oui,11.0,1,0,5,3,3,Entrepreunariat,Occasionnel,0,4
298,41,F,Célibataire,Commercial,Senior Manager,3,16,1,0,4,3,4,3,3,3,Oui,18.0,0,0,3,6,3,Infra & Cloud,Occasionnel,0,0
299,30,F,Célibataire,Commercial,Cadre Commercial,5,9,6,3,3,2,1,3,2,3,Non,15.0,1,0,5,26,4,Marketing,Frequent,0,1
300,29,M,Célibataire,Consulting,Assistant de Direction,0,7,6,2,3,3,3,4,2,3,Non,14.0,1,0,1,1,3,Entrepreunariat,Occasionnel,1,5
302,45,F,Célibataire,Commercial,Cadre Commercial,6,23,19,7,4,2,4,4,3,3,Non,12.0,0,0,2,6,3,Transformation Digitale,Aucun,12,8
303,54,F,Marié(e),Commercial,Cadre Commercial,2,16,6,2,4,3,1,4,3,3,Non,14.0,0,1,4,3,3,Marketing,Occasionnel,0,5
304,36,M,Célibataire,Consulting,Consultant,8,16,13,11,4,3,2,4,4,3,Non,16.0,0,0,3,5,2,Infra & Cloud,Occasionnel,3,7
305,33,F,Marié(e),Consulting,Assistant de Direction,6,7,3,2,3,2,2,4,3,4,Non,21.0,0,0,3,4,4,Transformation Digitale,Occasionnel,1,1
306,37,M,Divorcé(e),Consulting,Directeur Technique,1,10,10,8,2,3,4,3,3,3,Oui,14.0,0,3,1,11,3,Autre,Frequent,0,7
307,38,M,Divorcé(e),Commercial,Cadre Commercial,0,17,16,10,1,3,3,3,2,3,Non,12.0,0,2,6,3,3,Infra & Cloud,Occasionnel,5,13
308,31,M,Marié(e),Consulting,Tech Lead,0,6,5,4,3,1,3,4,3,3,Non,12.0,0,1,2,1,4,Transformation Digitale,Aucun,1,4
309,59,M,Marié(e),Consulting,Assistant de Direction,3,7,1,0,3,2,4,1,3,3,Non,17.0,0,1,6,3,3,Infra & Cloud,Occasionnel,0,0
311,37,M,Divorcé(e),Commercial,Représentant Commercial,4,13,9,8,1,3,4,3,3,3,Non,17.0,0,1,2,4,4,Marketing,Frequent,5,8
312,29,F,Marié(e),Commercial,Cadre Commercial,1,11,11,10,2,3,4,4,3,3,Non,14.0,0,1,5,1,1,Transformation Digitale,Frequent,4,1
314,35,F,Célibataire,Commercial,Cadre Commercial,1,10,10,7,3,3,3,1,4,3,Non,14.0,0,0,3,1,3,Marketing,Frequent,0,8
315,29,M,Célibataire,Consulting,Assistant de Direction,1,4,4,3,3,2,4,3,2,3,Oui,13.0,1,0,3,18,1,Transformation Digitale,Occasionnel,0,1
316,52,F,Célibataire,Consulting,Consultant,7,6,2,2,3,2,4,2,2,3,Non,15.0,0,0,3,2,3,Infra & Cloud,Occasionnel,2,2
319,42,M,Marié(e),Consulting,Senior Manager,1,22,22,17,3,3,4,4,3,3,Non,11.0,0,0,3,4,2,Entrepreunariat,Occasionnel,11,15
321,59,M,Marié(e),Ressources Humaines,Ressources Humaines,8,7,2,2,2,3,3,4,2,3,Non,17.0,0,0,2,6,2,Transformation Digitale,Occasionnel,2,2
323,50,F,Divorcé(e),Commercial,Senior Manager,3,32,7,0,4,3,4,3,2,3,Non,11.0,0,1,3,1,4,Transformation Digitale,Occasionnel,0,6
325,33,M,Marié(e),Consulting,Consultant,5,8,5,4,3,3,4,3,1,3,Oui,13.0,1,1,2,14,3,Transformation Digitale,Occasionnel,0,4
327,43,F,Marié(e),Commercial,Senior Manager,5,22,17,13,4,3,4,3,3,4,Oui,22.0,0,1,3,16,3,Marketing,Occasionnel,1,9
328,33,F,Marié(e),Consulting,Consultant,7,13,9,7,1,3,1,1,4,4,Non,20.0,1,0,3,2,2,Infra & Cloud,Occasionnel,1,7
329,52,M,Célibataire,Commercial,Senior Manager,1,33,33,7,1,2,3,4,4,3,Oui,18.0,0,0,2,2,4,Infra & Cloud,Aucun,15,12
330,32,F,Marié(e),Commercial,Représentant Commercial,2,6,4,3,3,3,2,1,3,3,Non,11.0,0,1,5,4,2,Infra & Cloud,Occasionnel,1,2
331,32,M,Célibataire,Consulting,Consultant,0,4,3,2,4,2,3,4,1,3,Oui,14.0,1,0,2,1,3,Infra & Cloud,Occasionnel,1,2
332,39,F,Divorcé(e),Consulting,Consultant,7,7,3,2,3,3,3,3,3,3,Non,14.0,0,3,1,1,4,Transformation Digitale,Occasionnel,1,2
333,32,M,Marié(e),Commercial,Cadre Commercial,0,4,3,2,3,3,4,1,3,3,Non,18.0,0,0,2,26,4,Marketing,Aucun,2,2
334,41,M,Divorcé(e),Consulting,Assistant de Direction,2,17,1,0,3,3,1,1,2,3,Non,16.0,0,2,2,19,2,Infra & Cloud,Occasionnel,0,0
335,40,M,Divorcé(e),Consulting,Assistant de Direction,1,9,9,8,1,3,4,1,3,3,Non,17.0,0,2,3,24,2,Entrepreunariat,Occasionnel,4,7
336,45,M,Marié(e),Consulting,Senior Manager,0,25,24,0,3,4,4,3,3,3,Non,11.0,0,1,2,1,3,Autre,Occasionnel,1,7
337,31,M,Divorcé(e),Consulting,Directeur Technique,9,9,2,2,2,3,3,1,3,3,Non,12.0,0,1,3,3,4,Transformation Digitale,Frequent,2,2
338,33,F,Marié(e),Consulting,Assistant de Direction,1,2,2,2,3,2,4,3,2,3,Non,13.0,0,1,2,5,4,Infra & Cloud,Occasionnel,0,2
339,34,M,Marié(e),Consulting,Tech Lead,6,13,11,9,4,2,1,2,3,3,Non,13.0,0,1,3,2,4,Infra & Cloud,Occasionnel,5,9
340,37,F,Marié(e),Consulting,Assistant de Direction,2,17,3,1,3,2,1,1,2,3,Non,14.0,0,1,2,1,2,Transformation Digitale,Occasionnel,0,2
341,45,M,Marié(e),Consulting,Tech Lead,4,9,3,2,1,4,3,4,3,3,Non,17.0,0,1,1,7,4,Infra & Cloud,Frequent,0,2
342,37,M,Divorcé(e),Consulting,Tech Lead,6,17,1,0,1,3,3,2,3,3,Non,11.0,1,2,5,10,3,Transformation Digitale,Frequent,0,0
343,39,F,Célibataire,Consulting,Manager,0,20,19,6,3,3,3,4,3,4,Non,25.0,0,0,1,2,4,Entrepreunariat,Frequent,11,8
346,29,M,Célibataire,Consulting,Assistant de Direction,1,6,6,5,3,3,4,1,3,3,Non,19.0,0,0,1,15,3,Infra & Cloud,Occasionnel,1,5
347,42,F,Célibataire,Consulting,Assistant de Direction,3,10,3,2,4,4,1,3,3,3,Oui,13.0,0,0,1,17,2,Infra & Cloud,Occasionnel,0,2
349,29,M,Divorcé(e),Commercial,Cadre Commercial,2,10,3,2,4,3,4,4,3,3,Non,14.0,0,1,2,20,2,Marketing,Occasionnel,0,2
350,25,F,Marié(e),Consulting,Tech Lead,0,5,4,2,1,3,3,4,3,3,Non,12.0,0,2,3,1,3,Infra & Cloud,Occasionnel,1,2
351,42,F,Divorcé(e),Consulting,Consultant,0,10,9,6,4,2,1,3,3,3,Oui,11.0,0,1,4,2,3,Transformation Digitale,Occasionnel,7,8
352,40,M,Divorcé(e),Consulting,Directeur Technique,0,22,21,7,1,3,3,4,3,3,Non,19.0,0,1,5,2,2,Transformation Digitale,Occasionnel,3,9
353,51,M,Marié(e),Consulting,Assistant de Direction,1,1,1,0,3,3,4,2,2,3,Non,11.0,0,0,0,1,3,Infra & Cloud,Occasionnel,0,0
355,31,M,Célibataire,Consulting,Consultant,0,6,5,4,3,2,2,2,4,3,Non,11.0,1,0,2,29,2,Transformation Digitale,Frequent,1,4
359,32,M,Marié(e),Consulting,Consultant,1,5,5,1,2,4,2,3,1,4,Non,20.0,0,0,3,7,3,Infra & Cloud,Frequent,0,3
361,38,M,Marié(e),Commercial,Cadre Commercial,3,13,8,7,4,2,4,4,3,3,Non,18.0,0,1,0,2,2,Infra & Cloud,Aucun,7,5
362,32,M,Célibataire,Consulting,Consultant,4,9,6,2,4,2,1,4,3,3,Non,13.0,0,0,5,2,1,Entrepreunariat,Occasionnel,0,4
363,46,F,Marié(e),Commercial,Senior Manager,3,28,7,7,3,1,2,2,2,3,Oui,12.0,0,1,2,2,3,Entrepreunariat,Occasionnel,7,7
364,28,M,Célibataire,Consulting,Consultant,2,5,0,0,1,3,3,3,1,3,Non,11.0,1,0,5,2,4,Infra & Cloud,Occasionnel,0,0
366,29,M,Marié(e),Commercial,Cadre Commercial,2,10,0,0,1,2,2,2,3,3,Non,19.0,0,2,2,2,3,Transformation Digitale,Occasionnel,0,0
367,31,M,Marié(e),Consulting,Manager,0,10,9,0,2,2,4,2,3,4,Non,21.0,0,1,2,23,3,Transformation Digitale,Occasionnel,7,8
369,25,M,Divorcé(e),Consulting,Manager,1,6,6,3,2,4,1,4,3,3,Non,12.0,0,2,2,5,2,Infra & Cloud,Aucun,1,5
372,45,M,Marié(e),Consulting,Manager,0,21,20,7,3,3,4,2,3,3,Oui,14.0,0,0,2,20,2,Transformation Digitale,Occasionnel,4,10
373,36,M,Marié(e),Consulting,Consultant,0,16,15,13,4,3,4,3,3,3,Non,11.0,0,1,4,6,3,Infra & Cloud,Occasionnel,10,11
374,55,M,Célibataire,Consulting,Senior Manager,0,37,36,10,4,3,1,3,3,3,Oui,14.0,0,0,2,1,3,Transformation Digitale,Occasionnel,4,13
376,47,M,Marié(e),Consulting,Senior Manager,1,10,10,7,1,3,2,4,2,3,Oui,12.0,1,1,2,29,4,Infra & Cloud,Aucun,9,9
377,28,M,Marié(e),Consulting,Assistant de Direction,1,5,5,2,4,3,4,4,2,4,Non,23.0,0,1,3,9,3,Transformation Digitale,Occasionnel,0,4
378,37,M,Marié(e),Commercial,Cadre Commercial,4,7,5,4,3,3,4,2,4,3,Non,14.0,0,1,5,6,4,Transformation Digitale,Occasionnel,0,1
379,21,M,Célibataire,Consulting,Assistant de Direction,1,3,3,2,4,2,3,1,4,3,Non,17.0,0,0,4,3,2,Transformation Digitale,Occasionnel,1,0
380,37,F,Divorcé(e),Consulting,Directeur Technique,2,15,5,2,1,3,4,1,3,3,Oui,18.0,0,2,2,1,4,Transformation Digitale,Aucun,0,2
381,35,F,Divorcé(e),Consulting,Senior Manager,7,10,7,7,2,4,2,2,2,3,Non,18.0,0,1,6,22,3,Infra & Cloud,Occasionnel,6,2
382,38,F,Divorcé(e),Commercial,Cadre Commercial,1,8,8,0,1,4,1,3,3,4,Oui,24.0,0,1,3,7,2,Transformation Digitale,Occasionnel,7,7
384,26,F,Divorcé(e),Consulting,Tech Lead,1,6,6,5,3,3,2,1,1,4,Non,20.0,0,1,6,1,3,Infra & Cloud,Frequent,1,4
385,50,M,Divorcé(e),Consulting,Directeur Technique,3,28,10,4,1,3,2,1,2,3,Non,14.0,0,2,4,4,1,Infra & Cloud,Occasionnel,1,6
386,53,M,Marié(e),Consulting,Directeur Technique,3,21,5,3,3,3,3,4,2,3,Oui,16.0,0,3,5,3,4,Transformation Digitale,Occasionnel,1,3
387,42,M,Marié(e),Commercial,Cadre Commercial,1,20,20,16,2,3,3,3,3,4,Non,25.0,0,0,3,1,1,Infra & Cloud,Occasionnel,11,6
388,29,M,Célibataire,Commercial,Cadre Commercial,1,10,10,7,2,3,4,1,2,3,Non,18.0,0,0,3,2,2,Infra & Cloud,Frequent,0,9
389,55,M,Marié(e),Consulting,Consultant,3,12,10,7,2,3,4,4,3,3,Oui,19.0,0,1,4,20,2,Entrepreunariat,Occasionnel,0,8
390,26,M,Marié(e),Consulting,Manager,1,5,5,3,1,3,1,3,3,3,Oui,13.0,0,1,3,11,2,Transformation Digitale,Frequent,3,3
391,37,F,Célibataire,Consulting,Assistant de Direction,1,17,17,12,4,3,4,2,3,3,Non,12.0,0,0,3,1,3,Infra & Cloud,Occasionnel,5,7
392,44,M,Divorcé(e),Consulting,Consultant,3,19,1,0,4,3,3,4,1,4,Oui,22.0,1,1,0,24,3,Infra & Cloud,Frequent,0,0
393,38,M,Divorcé(e),Consulting,Manager,9,10,2,2,4,3,4,2,3,3,Non,14.0,0,1,2,23,4,Infra & Cloud,Occasionnel,1,2
394,26,M,Divorcé(e),Consulting,Consultant,2,5,3,2,1,3,2,4,3,3,Oui,13.0,1,1,2,16,4,Transformation Digitale,Occasionnel,0,2
395,28,F,Célibataire,Consulting,Assistant de Direction,1,5,5,3,4,3,4,4,3,4,Non,21.0,0,0,3,8,2,Infra & Cloud,Occasionnel,0,2
396,49,F,Célibataire,Consulting,Directeur Technique,9,22,3,2,3,3,1,4,3,3,Oui,11.0,0,0,4,10,4,Infra & Cloud,Frequent,1,2
397,36,M,Célibataire,Consulting,Assistant de Direction,4,10,8,0,3,3,2,4,3,3,Non,12.0,0,0,2,3,3,Entrepreunariat,Occasionnel,7,7
399,31,F,Divorcé(e),Commercial,Représentant Commercial,1,2,2,2,4,3,2,3,2,3,Non,11.0,0,1,5,5,3,Marketing,Frequent,2,2
401,26,M,Célibataire,Commercial,Cadre Commercial,1,8,8,7,4,2,4,2,3,3,Oui,12.0,1,0,0,4,4,Marketing,Occasionnel,7,4
403,37,M,Marié(e),Consulting,Assistant de Direction,1,4,4,2,2,3,4,3,2,3,Oui,12.0,0,3,3,9,3,Transformation Digitale,Frequent,1,2
404,42,F,Marié(e),Commercial,Cadre Commercial,5,23,20,4,3,3,2,4,4,3,Non,14.0,0,1,2,26,3,Marketing,Frequent,4,8
405,18,M,Célibataire,Consulting,Consultant,1,0,0,0,3,3,3,3,3,3,Non,13.0,1,0,2,3,3,Infra & Cloud,Occasionnel,0,0
406,35,M,Marié(e),Commercial,Cadre Commercial,0,12,11,9,3,3,2,3,2,3,Non,15.0,0,2,3,16,3,Marketing,Occasionnel,6,9
407,36,M,Marié(e),Consulting,Consultant,4,4,1,0,3,4,4,4,3,3,Non,18.0,0,2,2,18,4,Infra & Cloud,Frequent,0,0
408,51,M,Divorcé(e),Consulting,Tech Lead,5,13,4,1,4,1,2,4,3,3,Non,18.0,0,1,3,2,3,Transformation Digitale,Occasionnel,1,2
410,41,M,Célibataire,Commercial,Senior Manager,1,22,22,10,4,3,2,2,3,3,Non,19.0,0,0,2,2,4,Infra & Cloud,Occasionnel,0,4
411,18,F,Célibataire,Commercial,Représentant Commercial,1,0,0,0,4,2,3,1,3,3,Non,12.0,0,0,2,10,3,Transformation Digitale,Occasionnel,0,0
412,28,M,Célibataire,Consulting,Manager,0,9,8,3,2,4,1,3,3,3,Non,19.0,0,0,2,16,2,Transformation Digitale,Occasionnel,0,7
416,31,M,Marié(e),Commercial,Cadre Commercial,4,10,8,7,2,4,4,2,2,3,Non,11.0,0,1,3,7,3,Entrepreunariat,Occasionnel,7,7
417,39,M,Divorcé(e),Consulting,Manager,0,19,18,10,3,4,4,1,2,3,Non,17.0,0,3,5,1,3,Transformation Digitale,Occasionnel,3,7
419,36,F,Marié(e),Consulting,Consultant,7,11,9,8,2,3,2,3,3,3,Non,15.0,0,1,3,24,4,Infra & Cloud,Aucun,0,8
420,32,M,Marié(e),Commercial,Cadre Commercial,1,13,13,8,4,2,3,3,2,3,Non,14.0,0,1,3,7,3,Infra & Cloud,Occasionnel,4,8
421,38,F,Marié(e),Consulting,Directeur Technique,3,19,10,8,1,2,2,3,3,3,Non,17.0,0,1,2,25,2,Infra & Cloud,Occasionnel,0,1
422,58,M,Divorcé(e),Consulting,Manager,2,12,5,3,4,1,3,4,3,3,Oui,13.0,0,1,2,1,4,Infra & Cloud,Aucun,1,2
423,31,M,Marié(e),Consulting,Assistant de Direction,0,6,5,2,3,3,4,3,3,3,Oui,12.0,0,1,4,5,4,Entrepreunariat,Occasionnel,0,3
424,31,M,Marié(e),Ressources Humaines,Ressources Humaines,3,9,2,2,1,2,1,4,3,3,Non,12.0,0,0,1,2,3,Ressources Humaines,Occasionnel,1,0
425,45,M,Divorcé(e),Consulting,Consultant,1,24,24,9,1,3,1,1,3,3,Non,18.0,0,1,2,7,3,Infra & Cloud,Frequent,9,11
426,31,M,Divorcé(e),Consulting,Assistant de Direction,0,3,2,2,3,3,4,2,1,3,Oui,18.0,0,1,2,2,4,Infra & Cloud,Occasionnel,2,2
428,33,F,Marié(e),Consulting,Senior Manager,6,12,10,6,4,3,2,2,3,3,Non,11.0,0,2,2,5,4,Infra & Cloud,Frequent,8,8
429,39,M,Marié(e),Consulting,Senior Manager,1,21,21,9,3,3,1,4,3,3,Oui,14.0,0,0,3,10,1,Transformation Digitale,Occasionnel,11,10
430,43,F,Célibataire,Consulting,Consultant,0,9,8,7,3,3,4,1,3,3,Non,19.0,0,0,5,10,4,Infra & Cloud,Frequent,1,7
431,49,F,Célibataire,Consulting,Manager,7,25,7,1,3,2,3,4,3,3,Oui,12.0,0,0,2,1,2,Entrepreunariat,Occasionnel,0,7
433,52,M,Marié(e),Consulting,Assistant de Direction,2,11,8,2,3,2,2,1,2,3,Non,15.0,1,0,3,8,4,Transformation Digitale,Occasionnel,7,7
434,27,F,Célibataire,Consulting,Assistant de Direction,1,4,4,3,3,3,2,2,2,3,Oui,12.0,0,0,2,5,3,Infra & Cloud,Occasionnel,1,2
436,32,F,Marié(e),Commercial,Cadre Commercial,1,13,13,12,3,2,2,4,3,3,Oui,11.0,0,0,2,8,2,Entrepreunariat,Occasionnel,11,9
437,27,M,Célibataire,Commercial,Cadre Commercial,1,5,5,4,4,3,3,1,3,3,Oui,11.0,0,0,3,2,3,Infra & Cloud,Occasionnel,0,4
438,31,M,Divorcé(e),Commercial,Cadre Commercial,4,13,7,7,4,3,4,4,3,3,Non,12.0,0,3,3,7,3,Marketing,Occasionnel,1,7
439,32,F,Célibataire,Consulting,Assistant de Direction,7,10,7,7,1,4,4,3,2,3,Non,16.0,0,0,0,2,4,Transformation Digitale,Occasionnel,0,7
440,28,M,Marié(e),Consulting,Assistant de Direction,5,5,3,2,1,1,4,4,2,3,Oui,13.0,1,0,4,2,4,Transformation Digitale,Occasionnel,2,2
441,30,F,Marié(e),Consulting,Assistant de Direction,1,11,10,8,4,3,4,4,3,3,Non,13.0,0,2,2,28,2,Transformation Digitale,Occasionnel,1,9
442,31,F,Marié(e),Consulting,Tech Lead,1,10,10,9,3,2,3,1,3,4,Non,24.0,0,1,2,7,2,Infra & Cloud,Frequent,8,9
444,39,M,Marié(e),Consulting,Senior Manager,1,21,21,9,3,2,4,1,3,3,Non,15.0,0,1,2,7,2,Transformation Digitale,Frequent,13,3
445,39,F,Marié(e),Commercial,Cadre Commercial,4,12,1,0,4,3,3,1,2,3,Oui,18.0,1,0,3,3,2,Transformation Digitale,Occasionnel,0,0
446,33,M,Célibataire,Commercial,Cadre Commercial,3,9,7,7,2,2,4,3,2,3,Non,14.0,0,0,6,10,3,Marketing,Frequent,0,1
447,47,M,Marié(e),Consulting,Directeur Technique,4,21,3,2,4,3,3,2,3,3,Non,11.0,0,1,2,5,5,Infra & Cloud,Occasionnel,1,1
448,43,F,Divorcé(e),Consulting,Consultant,1,9,9,7,3,2,3,2,4,3,Non,11.0,0,1,3,10,4,Infra & Cloud,Frequent,0,0
449,27,M,Marié(e),Commercial,Cadre Commercial,0,6,5,4,3,3,2,4,3,3,Oui,13.0,0,1,0,1,1,Marketing,Aucun,1,4
450,54,F,Célibataire,Consulting,Assistant de Direction,3,20,4,3,4,3,3,4,2,3,Non,12.0,0,0,4,20,4,Infra & Cloud,Frequent,0,3
451,43,F,Marié(e),Consulting,Manager,8,10,1,0,3,3,1,1,2,3,Non,16.0,0,1,1,7,3,Infra & Cloud,Occasionnel,0,0
452,45,M,Marié(e),Consulting,Assistant de Direction,9,12,10,9,4,3,4,1,3,3,Non,14.0,0,2,3,8,4,Autre,Occasionnel,9,8
